393,,,0.72,0.498442199,-0.498442199,0.498442199
394,,,0.76,0.508765957,-0.508765957,0.508765957
395,,,0.8,0.518302116,-0.518302116,0.518302116
396,,,0.84,0.527075249,-0.527075249,0.527075249
397,,,0.88,0.535114245,-0.535114245,0.535114245
398,,,0.92,0.542451498,-0.542451498,0.542451498
399,,,0.96,0.549122128,-0.549122128,0.549122128
400,,,1,0.555163251,-0.555163251,0.555163251
401,5.2,0.52,1.04,0.560613304,-0.040613304,0.040613304
402,4.91,0.491,1.08,0.565511425,-0.074511425,0.074511425
403,4.39,0.439,1.12,0.569896902,-0.130896902,0.130896902
404,4.2,0.42,1.16,0.573808679,-0.153808679,0.153808679
405,5.2,0.52,1.2,0.577284941,-0.057284941,0.057284941
406,5.49,0.549,1.24,0.580362753,-0.031362753,0.031362753
407,5.96,0.596,1.28,0.583077771,0.012922229,0.012922229
408,5.49,0.549,1.32,0.585464003,-0.036464003,0.036464003
409,5.73,0.573,1.36,0.587553641,-0.014553641,0.014553641
410,5.49,0.549,1.4,0.589376929,-0.040376929,0.040376929
411,5.73,0.573,1.44,0.590962089,-0.017962089,0.017962089
412,5.73,0.573,1.48,0.592335279,-0.019335279,0.019335279
413,5.73,0.573,1.52,0.593520599,-0.020520599,0.020520599
414,4.96,0.496,1.56,0.594540113,-0.098540113,0.098540113
415,5.49,0.549,1.6,0.595413909,-0.046413909,0.046413909
416,5.73,0.573,1.64,0.59616017,-0.02316017,0.02316017
417,5.73,0.573,1.68,0.596795269,-0.023795269,0.023795269
418,5.73,0.573,1.72,0.59733387,-0.02433387,0.02433387
419,5.73,0.573,1.76,0.597789037,-0.024789037,0.024789037
420,6.01,0.601,1.8,0.598172355,0.002827645,0.002827645
421,6.25,0.625,1.84,0.598494044,0.026505956,0.026505956
422,6.25,0.625,1.88,0.598763075,0.026236925,0.026236925
423,6.25,0.625,1.92,0.598987292,0.026012708,0.026012708
424,6.25,0.625,1.96,0.599173514,0.025826486,0.025826486
425,6.25,0.625,2,0.599327647,0.025672353,0.025672353
426,6.25,0.625,2.04,0.599454783,0.025545217,0.025545217
427,6.25,0.625,2.08,0.599559292,0.025440708,0.025440708
428,5.96,0.596,2.12,0.599644906,-0.003644906,0.003644906
429,5.96,0.596,2.16,0.599714802,-0.003714802,0.003714802
430,5.96,0.596,2.2,0.599771672,-0.003771672,0.003771672
431,5.96,0.596,2.24,0.599817786,-0.003817786,0.003817786
432,5.73,0.573,2.28,0.599855051,-0.026855051,0.026855051
433,5.73,0.573,2.32,0.599885063,-0.026885063,0.026885063
434,5.73,0.573,2.36,0.599909152,-0.026909152,0.026909152
435,6.25,0.625,2.4,0.599928422,0.025071578,0.025071578
436,6.25,0.625,2.44,0.599943785,0.025056215,0.025056215
437,6.25,0.625,2.48,0.599955991,0.025044009,0.025044009
438,6.25,0.625,2.52,0.599965658,0.025034342,0.025034342
439,6.25,0.625,2.56,0.599973286,0.025026714,0.025026714
440,6.25,0.625,2.6,0.599979287,0.025020713,0.025020713
441,6.01,0.601,2.64,0.59998399,0.00101601,0.00101601
442,6.01,0.601,2.68,0.599987666,0.001012334,0.001012334
443,6.01,0.601,2.72,0.599990528,0.001009472,0.001009472
444,6.01,0.601,2.76,0.599992749,0.001007251,0.001007251
445,5.73,0.573,2.8,0.599994467,-0.026994467,0.026994467
446,5.73,0.573,2.84,0.599995791,-0.026995791,0.026995791
447,5.44,0.544,2.88,0.599996809,-0.055996809,0.055996809
448,5.2,0.52,2.92,0.599997588,-0.079997588,0.079997588
449,5.44,0.544,2.96,0.599998183,-0.055998183,0.055998183
450,5.73,0.573,3,0.599998636,-0.026998636,0.026998636
,,,,,,14.87312075
