Timestamp (s),Sensor Value
17-18-12-216,2.91
17-18-12-237,3.15
17-18-12-279,3.15
17-18-12-320,3.15
17-18-12-344,3.42
17-18-12-386,3.42
17-18-12-407,3.42
17-18-12-449,3.72
17-18-12-490,3.72
17-18-12-511,4.05
17-18-12-552,4.05
17-18-12-594,4.05
17-18-12-618,4.41
17-18-12-660,4.41
17-18-12-681,4.41
17-18-12-722,4.78
17-18-12-764,4.78
17-18-12-784,5.16
17-18-12-829,5.16
17-18-12-850,5.16
17-18-12-892,5.56
17-18-12-933,5.56
17-18-12-954,5.95
17-18-12-995,5.95
17-18-13-037,5.95
17-18-13-058,6.34
17-18-13-099,6.34
17-18-13-120,6.34
17-18-13-164,6.72
17-18-13-205,6.72
17-18-13-226,7.1
17-18-13-272,7.1
17-18-13-293,7.1
17-18-13-335,7.46
17-18-13-376,7.46
17-18-13-397,7.46
17-18-13-439,7.77
17-18-13-460,7.77
17-18-13-508,8.01
17-18-13-529,8.01
17-18-13-570,8.01
17-18-13-612,8.19
17-18-13-634,8.19
17-18-13-675,8.26
17-18-13-717,8.26
17-18-13-738,8.26
17-18-13-779,8.26
17-18-13-822,8.26
17-18-13-843,8.26
17-18-13-884,8.22
17-18-13-905,8.22
17-18-13-946,8.07
17-18-13-987,8.07
17-18-14-007,8.07
17-18-14-048,7.84
17-18-14-090,7.84
17-18-14-111,7.84
17-18-14-151,7.56
17-18-14-193,7.56
17-18-14-213,7.23
17-18-14-254,7.23
17-18-14-297,7.23
17-18-14-318,6.88
17-18-14-359,6.88
17-18-14-400,6.88
17-18-14-421,6.52
17-18-14-462,6.52
17-18-14-504,6.15
17-18-14-524,6.15
17-18-14-566,6.15
17-18-14-587,5.79
17-18-14-628,5.79
17-18-14-670,5.42
17-18-14-690,5.42
17-18-14-732,5.42
17-18-14-774,5.05
17-18-14-794,5.05
17-18-14-835,5.05
17-18-14-876,4.68
17-18-14-897,4.68
17-18-14-939,4.32
17-18-14-981,4.32
17-18-15-001,4.32
17-18-15-042,3.97
17-18-15-084,3.97
17-18-15-105,3.97
17-18-15-146,3.63
17-18-15-174,3.63
17-18-15-215,3.34
17-18-15-236,3.34
17-18-15-278,3.34
17-18-15-319,3.14
17-18-15-340,3.14
17-18-15-382,3.02
17-18-15-423,3.02
17-18-15-444,3.02
17-18-15-485,2.94
17-18-15-527,2.94
17-18-15-548,2.94
17-18-15-590,2.89
17-18-15-610,2.89
17-18-15-652,2.87
17-18-15-693,2.87
17-18-15-714,2.87
17-18-15-756,2.86
17-18-15-797,2.86
17-18-15-819,2.86
17-18-15-860,2.86
17-18-15-902,2.86
17-18-15-923,2.85
17-18-15-965,2.85
17-18-15-986,2.85
17-18-16-028,2.85
17-18-16-069,2.85
17-18-16-090,2.85
17-18-16-131,2.85
17-18-16-173,2.85
17-18-16-194,2.85
17-18-16-236,2.85
17-18-16-256,2.85
17-18-16-301,2.86
17-18-16-342,2.86
17-18-16-363,2.86
17-18-16-410,2.86
17-18-16-431,2.86
17-18-16-473,2.86
17-18-16-514,2.86
17-18-16-535,2.86
17-18-16-576,2.86
17-18-16-618,2.86
17-18-16-639,2.87
17-18-16-680,2.87
17-18-16-722,2.87
17-18-16-743,2.87
17-18-16-784,2.87
17-18-16-825,2.87
17-18-16-847,2.87
17-18-16-888,2.87
17-18-16-909,2.88
17-18-16-950,2.88
