Timestamp (s),Sensor Value
12-55-00-082,2.08
12-55-00-130,2.14
12-55-00-164,2.14
12-55-00-194,2.22
12-55-00-226,2.22
12-55-00-258,2.22
12-55-00-289,2.32
12-55-00-327,2.32
12-55-00-369,2.32
12-55-00-404,2.43
12-55-00-433,2.43
12-55-00-464,2.55
12-55-00-496,2.55
12-55-00-527,2.55
12-55-00-575,2.66
12-55-00-607,2.66
12-55-00-638,2.79
12-55-00-670,2.79
12-55-00-702,2.79
12-55-00-733,2.94
12-55-00-766,2.94
12-55-00-813,2.94
12-55-00-845,3.09
12-55-00-876,3.09
12-55-00-908,3.24
12-55-00-940,3.24
12-55-00-972,3.24
12-55-01-018,3.39
12-55-01-050,3.39
12-55-01-082,3.39
12-55-01-113,3.55
12-55-01-145,3.55
12-55-01-177,3.69
12-55-01-208,3.69
12-55-01-256,3.69
12-55-01-287,3.83
12-55-01-318,3.83
12-55-01-350,3.83
12-55-01-381,3.95
12-55-01-429,3.95
12-55-01-461,4.06
12-55-01-493,4.06
12-55-01-530,4.06
12-55-01-556,4.15
12-55-01-588,4.15
12-55-01-630,4.22
12-55-01-654,4.22
12-55-01-699,4.22
12-55-01-731,4.27
12-55-01-763,4.27
12-55-01-794,4.27
12-55-01-831,4.32
12-55-01-859,4.32
12-55-01-890,4.37
12-55-01-939,4.37
12-55-01-970,4.37
12-55-02-002,4.42
12-55-02-035,4.42
12-55-02-066,4.42
12-55-02-098,4.45
12-55-02-146,4.45
12-55-02-178,4.46
12-55-02-209,4.46
12-55-02-241,4.46
12-55-02-273,4.47
12-55-02-305,4.47
12-55-02-338,4.51
12-55-02-369,4.51
12-55-02-416,4.51
12-55-02-449,4.6
12-55-02-480,4.6
12-55-02-512,4.6
12-55-02-544,4.73
12-55-02-575,4.73
12-55-02-607,4.91
12-55-02-654,4.91
12-55-02-686,4.91
12-55-02-718,5.15
12-55-02-750,5.15
12-55-02-781,5.15
12-55-02-828,5.44
12-55-02-860,5.44
12-55-02-892,5.78
12-55-02-924,5.78
12-55-02-956,5.78
12-55-02-988,6.13
12-55-03-033,6.13
12-55-03-067,6.13
12-55-03-100,6.49
12-55-03-133,6.49
12-55-03-162,6.87
12-55-03-194,6.87
12-55-03-233,6.87
12-55-03-258,7.24
12-55-03-305,7.24
12-55-03-337,7.61
12-55-03-368,7.61
12-55-03-399,7.61
12-55-03-434,7.99
12-55-03-463,7.99
12-55-03-510,7.99
12-55-03-541,8.36
12-55-03-572,8.36
12-55-03-604,8.73
12-55-03-636,8.73
12-55-03-668,8.73
12-55-03-700,9.09
12-55-03-748,9.09
12-55-03-779,9.09
12-55-03-811,9.43
12-55-03-843,9.43
12-55-03-874,9.72
12-55-03-908,9.72
12-55-03-938,9.72
12-55-03-986,9.96
12-55-04-017,9.96
12-55-04-049,10.15
12-55-04-081,10.15
12-55-04-112,10.15
