Timestamp (s),Sensor Value
16-30-50-395,0.58
16-30-50-416,0.58
16-30-50-458,0.64
16-30-50-499,0.64
16-30-50-520,0.64
16-30-50-561,0.75
16-30-50-582,0.75
16-30-50-623,0.75
16-30-50-664,0.93
16-30-50-685,0.93
16-30-50-726,1.16
16-30-50-767,1.16
16-30-50-787,1.16
16-30-50-828,1.43
16-30-50-870,1.43
16-30-50-891,1.43
16-30-50-932,1.74
16-30-50-973,1.74
16-30-50-994,2.08
16-30-51-035,2.08
16-30-51-077,2.08
16-30-51-097,2.42
16-30-51-138,2.42
16-30-51-180,2.42
16-30-51-200,2.79
16-30-51-241,2.79
16-30-51-283,3.16
16-30-51-303,3.16
16-30-51-344,3.16
16-30-51-385,3.54
16-30-51-405,3.54
16-30-51-446,3.91
16-30-51-487,3.91
16-30-51-508,3.91
16-30-51-549,4.29
16-30-51-572,4.29
16-30-51-613,4.29
16-30-51-655,4.66
16-30-51-676,4.66
16-30-51-717,5.03
16-30-51-758,5.03
16-30-51-779,5.03
16-30-51-820,5.38
16-30-51-860,5.38
16-30-51-881,5.38
16-30-51-922,5.68
16-30-51-963,5.68
16-30-51-983,5.94
16-30-52-025,5.94
16-30-52-066,5.94
16-30-52-087,6.16
16-30-52-128,6.16
16-30-52-169,6.31
16-30-52-190,6.31
16-30-52-231,6.31
16-30-52-272,6.42
16-30-52-293,6.42
16-30-52-334,6.42
16-30-52-377,6.48
16-30-52-399,6.48
16-30-52-440,6.5
16-30-52-460,6.5
16-30-52-502,6.5
16-30-52-544,6.5
16-30-52-564,6.5
16-30-52-606,6.5
16-30-52-647,6.46
16-30-52-668,6.46
16-30-52-709,6.32
16-30-52-750,6.32
16-30-52-771,6.32
16-30-52-814,6.11
16-30-52-835,6.11
16-30-52-876,6.11
16-30-52-920,5.87
16-30-52-941,5.87
16-30-52-983,5.62
16-30-53-024,5.62
16-30-53-045,5.62
16-30-53-086,5.35
16-30-53-128,5.35
16-30-53-148,5.04
16-30-53-189,5.04
16-30-53-210,5.04
16-30-53-252,4.73
16-30-53-292,4.73
16-30-53-313,4.73
16-30-53-354,4.4
16-30-53-395,4.4
16-30-53-416,4.07
16-30-53-457,4.07
16-30-53-498,4.07
16-30-53-519,3.73
16-30-53-560,3.73
16-30-53-602,3.73
16-30-53-623,3.39
16-30-53-665,3.39
16-30-53-712,3.04
16-30-53-732,3.04
16-30-53-774,3.04
16-30-53-794,2.69
16-30-53-836,2.69
16-30-53-878,2.34
16-30-53-898,2.34
16-30-53-940,2.34
16-30-53-981,2.01
16-30-54-002,2.01
16-30-54-043,2.01
16-30-54-064,1.72
16-30-54-104,1.72
16-30-54-146,1.51
16-30-54-167,1.51
16-30-54-208,1.51
16-30-54-249,1.36
16-30-54-269,1.36
16-30-54-310,1.36
16-30-54-351,1.22
16-30-54-372,1.22
16-30-54-413,1.08
16-30-54-454,1.08
16-30-54-475,1.08
16-30-54-516,0.97
16-30-54-557,0.97
16-30-54-577,0.97
16-30-54-619,0.88
16-30-54-660,0.88
16-30-54-680,0.82
16-30-54-722,0.82
16-30-54-763,0.82
16-30-54-784,0.76
16-30-54-827,0.76
16-30-54-848,0.71
16-30-54-889,0.71
16-30-54-930,0.71
16-30-54-951,0.66
16-30-54-992,0.66
16-30-55-034,0.66
16-30-55-054,0.63
16-30-55-095,0.63
16-30-55-137,0.6
16-30-55-158,0.6
16-30-55-200,0.6
16-30-55-241,0.59
16-30-55-262,0.59
16-30-55-303,0.59
16-30-55-345,0.58
16-30-55-366,0.58
16-30-55-408,0.58
16-30-55-428,0.58
16-30-55-470,0.58
16-30-55-511,0.59
16-30-55-532,0.59
16-30-55-573,0.6
16-30-55-614,0.6
16-30-55-634,0.6
16-30-55-676,0.63
16-30-55-717,0.63
16-30-55-737,0.63
16-30-55-779,0.68
16-30-55-821,0.68
16-30-55-841,0.74
16-30-55-883,0.74
16-30-55-924,0.74
16-30-55-945,0.8
16-30-55-986,0.8
16-30-56-028,0.8
16-30-56-049,0.87
16-30-56-090,0.87
16-30-56-110,0.93
16-30-56-152,0.93
16-30-56-193,0.93
16-30-56-214,1
16-30-56-255,1
16-30-56-296,1
16-30-56-317,1.07
16-30-56-358,1.07
16-30-56-399,1.14
16-30-56-419,1.14
16-30-56-460,1.14
16-30-56-501,1.2
16-30-56-522,1.2
16-30-56-564,1.27
16-30-56-605,1.27
16-30-56-626,1.27
16-30-56-667,1.34
16-30-56-707,1.34
16-30-56-733,1.34
16-30-56-774,1.4
16-30-56-795,1.4
16-30-56-839,1.46
16-30-56-880,1.46
16-30-56-901,1.46
16-30-56-942,1.51
16-30-56-983,1.51
16-30-57-004,1.51
16-30-57-045,1.55
16-30-57-086,1.55
16-30-57-107,1.57
16-30-57-149,1.57
16-30-57-169,1.57
16-30-57-211,1.59
16-30-57-252,1.59
16-30-57-273,1.6
16-30-57-314,1.6
16-30-57-355,1.6
16-30-57-376,1.62
16-30-57-417,1.62
16-30-57-458,1.62
16-30-57-479,1.68
16-30-57-520,1.68
16-30-57-561,1.78
16-30-57-582,1.78
16-30-57-623,1.78
16-30-57-666,1.94
16-30-57-687,1.94
16-30-57-728,1.94
16-30-57-749,2.15
16-30-57-790,2.15
16-30-57-831,2.41
16-30-57-852,2.41
16-30-57-894,2.41
16-30-57-935,2.68
16-30-57-956,2.68
16-30-57-997,2.96
16-30-58-038,2.96
16-30-58-059,2.96
16-30-58-101,3.26
16-30-58-142,3.26
16-30-58-163,3.26
