Filename,Width (mm),Height (mm),Width (px),Height (px)
14-20-37-357.png,7.013358778625955,6.7748091603053435,147,142
14-20-37-399.png,7.013358778625955,6.4885496183206115,147,136
14-20-37-434.png,6.822519083969466,6.4885496183206115,143,136
14-20-37-465.png,6.822519083969466,6.4885496183206115,143,136
14-20-37-496.png,6.822519083969466,6.25,143,131
14-20-37-534.png,7.013358778625955,6.25,147,131
14-20-37-581.png,7.013358778625955,6.536259541984733,147,137
14-20-37-622.png,7.013358778625955,6.25,147,131
14-20-37-655.png,6.822519083969466,6.25,143,131
14-20-37-688.png,6.822519083969466,6.25,143,131
14-20-37-721.png,6.6316793893129775,6.011450381679389,139,126
14-20-37-755.png,6.393129770992367,5.963740458015268,134,125
14-20-37-787.png,6.6316793893129775,5.963740458015268,139,125
14-20-37-819.png,6.822519083969466,5.7251908396946565,143,120
14-20-37-854.png,7.204198473282443,6.011450381679389,151,126
14-20-37-889.png,7.395038167938932,6.011450381679389,155,126
14-20-37-922.png,7.395038167938932,5.963740458015268,155,125
14-20-37-955.png,6.870229007633588,5.963740458015268,144,125
14-20-37-988.png,6.6316793893129775,5.963740458015268,139,125
14-20-38-022.png,6.6316793893129775,5.7251908396946565,139,120
14-20-38-055.png,6.6316793893129775,5.7251908396946565,139,120
14-20-38-089.png,6.440839694656489,5.7251908396946565,135,120
14-20-38-123.png,6.440839694656489,5.7251908396946565,135,120
14-20-38-168.png,6.25,5.4389312977099245,131,114
14-20-38-211.png,5.486641221374046,4.961832061068702,115,104
14-20-38-243.png,5.4389312977099245,5.200381679389313,114,109
14-20-38-276.png,5.629770992366413,5.200381679389313,118,109
14-20-38-340.png,4.866412213740459,4.675572519083969,102,98
14-20-38-377.png,4.675572519083969,4.198473282442748,98,88
14-20-38-411.png,3.2919847328244276,2.8625954198473282,69,60
14-20-38-444.png,0,0,0,0
14-20-38-477.png,0,0,0,0
14-20-38-512.png,3.2919847328244276,2.8625954198473282,69,60
14-20-38-546.png,5.629770992366413,4.961832061068702,118,104
14-20-38-590.png,5.248091603053435,4.723282442748092,110,99
14-20-38-633.png,4.675572519083969,3.9122137404580157,98,82
14-20-38-666.png,5.248091603053435,4.437022900763359,110,93
14-20-38-699.png,5.820610687022901,4.961832061068702,122,104
14-20-38-733.png,5.4389312977099245,4.675572519083969,114,98
14-20-38-767.png,5.248091603053435,4.675572519083969,110,98
14-20-38-798.png,5.4389312977099245,4.961832061068702,114,104
14-20-38-833.png,4.866412213740459,4.437022900763359,102,93
14-20-38-866.png,4.293893129770993,3.9122137404580157,90,82
14-20-38-901.png,2.7194656488549622,2.3377862595419847,57,49
14-20-38-949.png,0,0,0,0
14-20-38-989.png,2.5286259541984735,2.5763358778625958,53,54
14-20-39-022.png,1.9561068702290079,2.099236641221374,41,44
14-20-39-066.png,0,0,0,0
14-20-39-101.png,0,0,0,0
14-20-39-147.png,0,0,0,0
14-20-39-189.png,0,0,0,0
14-20-39-235.png,0,0,0,0
14-20-39-280.png,4.484732824427481,3.9122137404580157,94,82
14-20-39-322.png,5.248091603053435,4.675572519083969,110,98
14-20-39-370.png,4.866412213740459,4.437022900763359,102,93
14-20-39-413.png,5.057251908396947,4.675572519083969,106,98
14-20-39-457.png,4.866412213740459,4.437022900763359,102,93
14-20-39-504.png,5.057251908396947,4.437022900763359,106,93
14-20-39-545.png,5.057251908396947,4.675572519083969,106,98
14-20-39-590.png,4.675572519083969,4.437022900763359,98,93
14-20-39-634.png,4.866412213740459,4.198473282442748,102,88
14-20-39-679.png,5.629770992366413,5.200381679389313,118,109
14-20-39-724.png,5.868320610687023,5.486641221374046,123,115
14-20-39-768.png,5.677480916030535,5.486641221374046,119,115
14-20-39-813.png,5.868320610687023,5.486641221374046,123,115
14-20-39-859.png,5.486641221374046,5.7251908396946565,115,120
14-20-39-899.png,6.059160305343512,5.963740458015268,127,125
14-20-39-933.png,6.202290076335879,5.963740458015268,130,125
14-20-39-980.png,6.822519083969466,5.7251908396946565,143,120
14-20-40-023.png,6.822519083969466,5.7251908396946565,143,120
14-20-40-055.png,6.822519083969466,6.25,143,131
14-20-40-089.png,6.440839694656489,6.011450381679389,135,126
14-20-40-122.png,6.822519083969466,6.25,143,131
14-20-40-155.png,6.6316793893129775,6.25,139,131
14-20-40-187.png,6.440839694656489,6.25,135,131
14-20-40-222.png,6.440839694656489,6.25,135,131
14-20-40-256.png,6.440839694656489,6.25,135,131
14-20-40-287.png,7.061068702290076,6.25,148,131
14-20-40-319.png,7.251908396946566,6.25,152,131
